rank,keyword,url,cluster,volume,page_type,brand_or_game_specific,user_problem
23,"wordle cheat","/wordle-cheat/","wordle-letter-patterns",60500,"tool_or_support_tool",true,"The user has green, yellow, and gray letters and needs possible next guesses."
24,"word generator from letters","/word-generator-from-letters/","word-finder",12100,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
25,"word scramble solver","/word-scramble-solver/","unscramble-scramble",33100,"tool_or_support_tool",false,"The user has scrambled letters and needs words that can be made from them."
26,"word solver","/word-solver/","word-finder",40500,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
27,"letter solver","/letter-solver/","word-finder",8100,"tool_or_support_tool",false,"The user has letters and constraints and needs matching words."
28,"word descrambler","/word-descrambler/","unscramble-scramble",49500,"support",false,"The user has scrambled letters and needs words that can be made from them."
29,"scrabble cheat","/scrabble-cheat/","scrabble",550000,"tool_or_support_tool",true,"The user has a rack of tiles and needs a valid scoring word."
30,"words with friends cheat","/words-with-friends-cheat/","words-with-friends",673000,"tool_or_support_tool",true,"The user is stuck in Words With Friends and needs valid words under that game ruleset."
31,"word tips","/word-tips/","word-finder",60500,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
32,"5 letter words","/5-letter-words/","wordle-letter-patterns",550000,"tool_or_support_tool",false,"The user needs a five-letter word that fits known letters or excluded letters."
33,"five letter words","/five-letter-words/","wordle-letter-patterns",201000,"tool_or_support_tool",false,"The user needs a five-letter word that fits known letters or excluded letters."
34,"five letter word finder","/five-letter-word-finder/","wordle-letter-patterns",90500,"tool_or_support_tool",false,"The user needs a five-letter word that fits known letters or excluded letters."
35,"7 letter words","/7-letter-words/","word-finder",49500,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
36,"word generator","/word-generator/","word-finder",49500,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
37,"word maker","/word-maker/","word-finder",12100,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
38,"spelling bee solver","/spelling-bee-solver/","spelling-bee",33100,"tool_or_support_tool",true,"The user has seven letters and a required center letter and needs hints or valid words."
39,"spelling bee answers","/spelling-bee-answers/","spelling-bee",450000,"support",true,"The user has seven letters and a required center letter and needs hints or valid words."
40,"spelling bee buddy","/spelling-bee-buddy/","spelling-bee",74000,"support",true,"The user has seven letters and a required center letter and needs hints or valid words."
41,"nyt spelling bee solver","/nyt-spelling-bee-solver/","spelling-bee",2400,"tool_or_support_tool",true,"The user has seven letters and a required center letter and needs hints or valid words."
42,"crossword clue solver","/crossword-clue-solver/","crossword",3600,"tool_or_support_tool",false,"The user has a clue, length, and some known letters and needs possible answers."
43,"crossword puzzle solver","/crossword-puzzle-solver/","crossword",14800,"tool_or_support_tool",false,"The user has a clue, length, and some known letters and needs possible answers."
44,"crossword help","/crossword-help/","crossword",14800,"support",false,"The user has a clue, length, and some known letters and needs possible answers."
45,"anagram generator","/anagram-generator/","anagram",33100,"tool_or_support_tool",false,"The user has letters, a word, name, or phrase and wants valid rearrangements."
46,"anagram maker","/anagram-maker/","anagram",8100,"tool_or_support_tool",false,"The user has letters, a word, name, or phrase and wants valid rearrangements."
47,"boggle solver","/boggle-solver/","boggle",1900,"tool_or_support_tool",false,"The user has a Boggle board and wants all connected words."
48,"cryptogram solver","/cryptogram-solver/","cryptogram",3600,"tool_or_support_tool",false,"The user is solving a substitution cipher and needs mapping hints or candidate words."
49,"letter box solver","/letter-box-solver/","word-finder",1600,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
50,"word ladder solver","/word-ladder-solver/","word-ladder",1600,"tool_or_support_tool",false,"The user needs a path from one word to another by changing one letter at a time."
